cosmx_threshold,f1_gain,f1_loss,f1_mean,accuracy_3class
0.01843,0.703030303030303,0.10588235294117647,0.4044563279857397,0.8247602441150829
0.018656,0.703030303030303,0.10588235294117647,0.4044563279857397,0.8247602441150829
0.020109,0.6962025316455697,0.10909090909090909,0.4026467203682394,0.8299912816041848
0.018168,0.6987951807228916,0.10526315789473684,0.4020291693088142,0.8230165649520488
0.018386,0.6987951807228916,0.10526315789473684,0.4020291693088142,0.8230165649520488
0.019395,0.6951219512195121,0.10778443113772455,0.40145319117861833,0.8265039232781168
0.017801,0.6982248520710059,0.10404624277456648,0.40113554742278623,0.8204010462074979
0.019259,0.6951219512195121,0.10714285714285714,0.4011324041811846,0.8256320836965998
0.01908,0.6951219512195121,0.10650887573964497,0.40081541347957855,0.8247602441150829
0.019214,0.6951219512195121,0.10650887573964497,0.40081541347957855,0.8247602441150829
0.020117,0.6923076923076923,0.10909090909090909,0.4006993006993007,0.8299912816041848
0.020138,0.6923076923076923,0.10909090909090909,0.4006993006993007,0.8299912816041848
0.019978,0.6918238993710691,0.10909090909090909,0.40045740423098913,0.8291194420226679
0.019426,0.691358024691358,0.10843373493975904,0.3998958798155585,0.8273757628596339
0.019682,0.691358024691358,0.10843373493975904,0.3998958798155585,0.8273757628596339
0.017919,0.6946107784431138,0.10465116279069768,0.3996309706169057,0.8212728857890148
0.018008,0.6946107784431138,0.10465116279069768,0.3996309706169057,0.8212728857890148
0.017684,0.6941176470588235,0.10344827586206896,0.39878296146044623,0.8186573670444638
0.02011,0.6878980891719745,0.10909090909090909,0.3984944991314418,0.8291194420226679
0.019706,0.6875,0.10843373493975904,0.3979668674698795,0.8273757628596339
0.019848,0.6875,0.10843373493975904,0.3979668674698795,0.8273757628596339
0.019424,0.6871165644171779,0.10778443113772455,0.39745049777745123,0.8256320836965998
0.017815,0.6904761904761905,0.10404624277456648,0.3972612166253785,0.8195292066259808
0.017879,0.6904761904761905,0.10404624277456648,0.3972612166253785,0.8195292066259808
0.01641,0.6931818181818182,0.10112359550561797,0.3971527068437181,0.8134263295553618
