snpatho_threshold,auc_gain,auc_loss,auc_mean,n_truth_gain,n_truth_loss
0.020151,0.9695010209958637,0.8604664014146772,0.9149837112052704,71,16
0.020156,0.9695010209958637,0.8604664014146772,0.9149837112052704,71,16
0.020136,0.9699483204134367,0.8586673607496096,0.9143078405815231,72,17
0.020433,0.9696246186496883,0.8531213191990576,0.911372968924373,70,15
0.020296,0.9695010209958637,0.8531213191990576,0.9113111700974607,71,15
0.020076,0.9699483204134367,0.8500639700816849,0.9100061452475607,72,18
0.020067,0.966238106170761,0.8500639700816849,0.908151038126223,73,18
0.021405,0.9702338766832033,0.8443501920614598,0.9072920343723315,68,11
0.02126,0.9695356403430937,0.8443501920614598,0.9069429162022767,69,11
0.021396,0.9695356403430937,0.8443501920614598,0.9069429162022767,69,11
0.019204,0.9645149253731344,0.8448786264061575,0.904696775889646,75,21
0.019429,0.9661847308632023,0.8406388642413487,0.9034117975522755,74,20
0.014123,0.929951473759885,0.8760281655034896,0.9029898196316872,107,59
0.015404,0.9424154492695617,0.8631358249772105,0.9027756371233862,95,50
0.020452,0.9696246186496883,0.835707502374169,0.9026660605119287,70,13
0.020655,0.9696246186496883,0.835707502374169,0.9026660605119287,70,13
0.020802,0.9695356403430937,0.835707502374169,0.9026215713586314,69,13
0.019315,0.9645149253731344,0.8406388642413487,0.9025768948072416,75,20
0.014201,0.929951473759885,0.8747348089040878,0.9023431413319865,107,58
0.008041,0.9022343249882142,0.9023724345697609,0.9023033797789876,164,113
0.008055,0.9021834006683624,0.9023724345697609,0.9022779176190616,163,113
0.013794,0.9282251452607565,0.8760281655034896,0.902126655382123,108,59
0.014057,0.9282251452607565,0.8760281655034896,0.902126655382123,108,59
0.019602,0.966238106170761,0.8372993654348637,0.9017687358028124,73,19
0.0197,0.966238106170761,0.8372993654348637,0.9017687358028124,73,19
0.019485,0.9661847308632023,0.8372993654348637,0.901742048149033,74,19
0.019027,0.9584901080228183,0.8448786264061575,0.9016843672144879,77,21
0.019084,0.9584901080228183,0.8448786264061575,0.9016843672144879,77,21
0.01546,0.9427471661514215,0.8605070443477938,0.9016271052496077,94,49
0.015473,0.9427471661514215,0.8605070443477938,0.9016271052496077,94,49
0.00806,0.9021834006683624,0.9009748102139407,0.9015791054411515,163,112
0.008086,0.9021834006683624,0.9009748102139407,0.9015791054411515,163,112
0.015367,0.939442594354583,0.8631358249772105,0.9012892096658968,96,50
0.007448,0.8976047904191616,0.9043822471011596,0.9009935187601605,167,122
0.009267,0.8998660822985147,0.9021107927411652,0.90098843751984,148,100
0.009295,0.8998660822985147,0.9021107927411652,0.90098843751984,148,100
0.008252,0.9014601742182115,0.9005055593855509,0.9009828668018811,162,109
0.021411,0.9696655610834716,0.8322779243623571,0.9009717427229144,67,10
0.021439,0.9696655610834716,0.8322779243623571,0.9009717427229144,67,10
0.014252,0.929951473759885,0.8719298245614034,0.9009406491606442,107,57
0.009199,0.8989234369775996,0.902940007193836,0.9009317220857178,150,101
0.009229,0.8989234369775996,0.902940007193836,0.9009317220857178,150,101
0.015495,0.9427471661514215,0.8590385198665453,0.9008928430089834,94,48
0.021735,0.9694446780478232,0.8322593243507127,0.900852001199268,66,9
0.021947,0.9694446780478232,0.8322593243507127,0.900852001199268,66,9
0.015648,0.9427471661514215,0.858843738893496,0.9007954525224587,94,46
0.007432,0.8971757360148112,0.9043822471011596,0.9007789915579854,169,122
0.007205,0.8949389324755789,0.9065052186800365,0.9007220755778077,173,124
0.007192,0.8948683417797781,0.9065052186800365,0.9006867802299073,174,124
0.008288,0.9005959205271314,0.9005055593855509,0.9005507399563412,161,109
0.008535,0.9005959205271314,0.9005055593855509,0.9005507399563412,161,109
0.009238,0.8981520087154174,0.902940007193836,0.9005460079546268,149,101
0.008134,0.9021834006683624,0.8988866485491366,0.9005350246087496,163,110
0.008158,0.9021834006683624,0.8988866485491366,0.9005350246087496,163,110
0.007442,0.8963410185320296,0.9043822471011596,0.9003616328165946,168,122
0.015243,0.9373981345115366,0.8631358249772105,0.9002669797443736,97,50
0.015314,0.9373981345115366,0.8631358249772105,0.9002669797443736,97,50
0.007471,0.8976047904191616,0.9028804794355034,0.9002426349273325,167,121
0.007242,0.8939355992844367,0.9065052186800365,0.9002204089822365,172,124
0.007123,0.8948683417797781,0.9053776908023483,0.9001230162910632,174,125
0.008558,0.9005192502532929,0.8996364025237943,0.9000778263885436,160,108
0.015202,0.936927297134297,0.8631358249772105,0.9000315610557538,98,50
